I0,I1,I2,I3,I4,I5,I6,I7,I8,I9
0.011,18.600,-697.500,0.000,0.000,0.000,0.000,0.000,1.000,171.000
-0.011,18.600,-697.500,0.000,0.000,0.000,0.000,0.000,1.000,171.000
-0.011,18.600,-697.500,0.000,0.000,0.000,0.000,0.000,1.000,171.000
-0.033,18.600,-697.500,0.000,0.000,0.000,0.000,0.000,1.000,171.000
-0.011,18.600,-697.500,0.000,0.000,0.000,0.000,0.000,1.000,171.000
-0.033,18.600,-697.500,0.000,0.000,0.000,0.000,0.000,1.000,171.000
-0.011,18.600,-697.500,0.000,0.000,0.000,0.000,0.000,1.000,171.000
-0.011,18.600,-697.500,0.000,0.000,0.000,0.000,0.000,1.000,171.000
-0.011,18.600,-697.500,0.000,0.000,0.000,0.000,0.000,1.000,171.000
-0.011,18.600,-697.500,0.000,0.000,0.000,0.000,0.000,1.000,171.000
-0.033,18.600,-697.500,0.000,0.000,0.000,0.000,0.000,1.000,171.000
-0.033,18.600,-697.500,0.000,0.000,0.000,0.000,0.000,1.000,171.000
-0.011,18.600,-697.500,0.000,0.000,0.000,0.000,0.000,1.000,172.000
-0.033,18.600,-697.500,0.000,0.000,0.000,0.000,0.000,1.000,172.000
-0.011,18.600,-697.500,0.000,0.000,0.000,0.000,0.000,1.000,172.000
-0.011,18.600,-697.500,0.000,0.000,0.000,0.000,0.000,1.000,172.000
-0.011,18.600,-697.500,0.000,0.000,0.000,0.000,0.000,1.000,172.000
-0.011,18.600,-697.500,0.000,0.000,0.000,0.000,0.000,1.000,172.000
-0.011,18.600,-697.500,0.000,0.000,0.000,0.000,0.000,1.000,172.000
-0.011,18.600,-697.500,0.000,0.000,0.000,0.000,0.000,1.000,172.000
-0.011,18.600,-697.500,0.000,0.000,0.000,0.000,0.000,1.000,172.000
-0.011,18.600,-697.500,0.000,0.000,0.000,0.000,0.000,1.000,172.000
-0.011,18.600,-697.500,0.000,0.000,0.000,0.000,0.000,1.000,172.000
-0.033,18.600,-697.500,0.000,0.000,0.000,0.000,0.000,1.000,172.000
-0.033,18.600,-697.500,0.000,0.000,0.000,0.000,0.000,1.000,172.000
-0.011,18.600,-697.500,0.000,0.000,0.000,0.000,0.000,1.000,172.000
-0.011,18.600,-697.500,0.000,0.000,0.000,0.000,0.000,1.000,173.000
-0.011,18.600,-697.500,0.000,0.000,0.000,0.000,0.000,1.000,173.000
-0.011,18.600,-697.500,0.000,0.000,0.000,0.000,0.000,1.000,173.000
-0.011,18.600,-697.500,0.000,0.000,0.000,0.000,0.000,1.000,173.000
-0.033,18.600,-697.500,0.000,0.000,0.000,0.000,0.000,1.000,173.000
-0.011,18.600,-697.500,0.000,0.000,0.000,0.000,0.000,1.000,173.000
-0.011,18.600,-697.500,0.000,0.000,0.000,0.000,0.000,1.000,173.000
-0.011,18.600,-697.500,0.000,0.000,0.000,0.000,0.000,1.000,173.000
-0.011,18.600,-697.500,0.000,0.000,0.000,0.000,0.000,1.000,173.000
-0.011,18.600,-697.500,0.000,0.000,0.000,0.000,0.000,1.000,173.000
-0.011,18.600,-697.500,0.000,0.000,0.000,0.000,0.000,1.000,173.000
-0.033,18.600,-697.500,0.000,0.000,0.000,0.000,0.000,1.000,173.000
-0.033,18.600,-697.500,0.000,0.000,0.000,0.000,0.000,1.000,173.000
-0.011,18.600,-697.500,0.000,0.000,0.000,0.000,0.000,1.000,173.000
-0.011,18.600,-697.500,0.000,0.000,0.000,0.000,0.000,1.000,174.000
-0.011,18.600,-697.500,0.000,0.000,0.000,0.000,0.000,1.000,174.000
-0.011,18.600,-697.500,0.000,0.000,0.000,0.000,0.000,1.000,174.000
-0.011,18.600,-697.500,0.000,0.000,0.000,0.000,0.000,1.000,174.000
-0.011,18.600,-697.500,0.000,0.000,0.000,0.000,0.000,1.000,174.000
-0.011,18.600,-697.500,0.000,0.000,0.000,0.000,0.000,1.000,174.000
-0.011,18.600,-697.500,0.000,0.000,0.000,0.000,0.000,1.000,174.000
-0.011,18.600,-697.500,0.000,0.000,0.000,0.000,0.000,1.000,174.000
-0.011,18.600,-697.500,0.000,0.000,0.000,0.000,0.000,1.000,174.000
-0.011,18.600,-697.500,0.000,0.000,0.000,0.000,0.000,1.000,174.000
-0.011,18.600,-697.500,0.000,0.000,0.000,0.000,0.000,1.000,174.000
-0.011,18.600,-697.500,0.000,0.000,0.000,0.000,0.000,1.000,174.000
-0.011,18.600,-697.500,0.000,0.000,0.000,0.000,0.000,1.000,174.000
-0.011,18.600,-697.500,0.000,0.000,0.000,0.000,0.000,1.000,174.000
0.011,18.600,-697.500,0.000,0.000,0.000,0.000,0.000,1.000,174.000
