BAT,I1,I2,I3,I4,I5,I6,I7,I8,I9
-0.011,-0.000,33.900,6.000,6.000,5.000,14.530,0.000,0.000,22.000
-0.011,-0.000,33.900,6.000,6.000,5.000,14.530,0.000,0.000,22.000
-0.011,0.032,33.900,6.000,6.000,5.000,14.530,0.000,0.000,22.000
-0.033,-0.000,33.900,6.000,6.000,5.000,14.530,0.000,0.000,22.000
-0.011,-0.000,33.900,6.000,6.000,5.000,14.530,0.000,0.000,22.000
-0.011,0.046,33.900,6.000,6.000,5.000,14.530,0.000,0.000,22.000
-0.011,-0.000,33.900,6.000,6.000,5.000,14.530,0.000,0.000,22.000
-0.011,0.015,33.900,6.000,6.000,5.000,14.520,0.000,0.000,22.000
-0.011,-0.000,33.900,6.000,6.000,5.000,14.520,0.000,0.000,22.000
-0.011,-0.000,33.900,6.000,6.000,5.000,14.520,0.000,0.000,22.000
-0.011,-0.000,33.900,6.000,6.000,5.000,14.520,0.000,0.000,22.000
-0.011,-0.000,33.900,6.000,6.000,5.000,14.520,0.000,0.000,22.000
-0.011,-0.000,33.900,6.000,6.000,5.000,14.520,0.000,0.000,22.000
-0.011,-0.000,33.900,6.000,6.000,5.000,14.520,0.000,0.000,22.000
-0.011,-0.000,33.900,6.000,6.000,5.000,14.520,0.000,0.000,22.000
-0.011,-0.000,33.900,6.000,6.000,5.000,14.520,0.000,0.000,22.000
-0.011,-0.000,33.900,6.000,6.000,5.000,14.520,0.000,0.000,22.000
-0.011,-0.000,33.900,6.000,6.000,5.000,14.520,0.000,0.000,22.000
-0.011,0.049,33.900,6.000,6.000,5.000,14.530,0.000,0.000,22.000
0.011,-0.000,33.900,6.000,6.000,5.000,14.530,0.000,0.000,22.000
-0.011,-0.000,33.900,6.000,6.000,5.000,14.520,0.000,0.000,22.000
-0.011,-0.000,33.900,6.000,6.000,5.000,14.520,0.000,0.000,22.000
-0.033,0.055,33.900,6.000,6.000,5.000,14.520,0.000,0.000,22.000
-0.011,-0.000,33.900,6.000,6.000,5.000,14.520,0.000,0.000,22.000
-0.011,0.068,33.900,6.000,6.000,5.000,14.520,0.000,0.000,22.000
-0.011,-0.000,33.900,6.000,6.000,5.000,14.520,0.000,0.000,22.000
-0.011,-0.000,33.900,6.000,6.000,5.000,14.520,0.000,0.000,22.000
-0.011,-0.000,33.900,6.000,6.000,5.000,14.520,0.000,0.000,22.000
-0.011,0.066,33.900,6.000,6.000,5.000,14.520,0.000,0.000,22.000
-0.011,-0.000,33.900,6.000,6.000,5.000,14.520,0.000,0.000,22.000
-0.011,-0.000,33.900,6.000,6.000,5.000,14.520,0.000,0.000,22.000
-0.011,-0.010,33.900,6.000,6.000,5.000,14.530,0.000,0.000,22.000
-0.011,-0.000,33.900,6.000,6.000,5.000,14.530,0.000,0.000,22.000
-0.011,-0.000,33.900,6.000,6.000,5.000,14.530,0.000,0.000,22.000
-0.011,-0.000,33.900,6.000,6.000,5.000,14.520,0.000,0.000,22.000
-0.011,-0.000,33.900,6.000,6.000,5.000,14.530,0.000,0.000,22.000
-0.011,-0.000,33.900,6.000,6.000,5.000,14.530,0.000,0.000,22.000
-0.011,-0.000,33.900,6.000,6.000,5.000,14.520,0.000,0.000,22.000
-0.011,-0.000,33.900,6.000,6.000,5.000,14.530,0.000,0.000,22.000
-0.011,-0.000,33.900,6.000,6.000,5.000,14.520,0.000,0.000,22.000
-0.011,-0.000,33.900,6.000,6.000,5.000,14.520,0.000,0.000,22.000
0.011,-0.000,33.900,6.000,6.000,5.000,14.530,0.000,0.000,22.000
-0.011,-0.000,33.900,6.000,6.000,5.000,14.520,0.000,0.000,22.000
-0.011,0.029,33.900,6.000,6.000,5.000,14.530,0.000,0.000,22.000
-0.011,-0.000,33.900,6.000,6.000,5.000,14.530,0.000,0.000,22.000
0.011,-0.000,33.900,6.000,6.000,5.000,14.520,0.000,0.000,22.000
-0.011,0.082,33.900,6.000,6.000,5.000,14.530,0.000,0.000,22.000
-0.011,-0.000,33.900,6.000,6.000,5.000,14.530,0.000,0.000,22.000
-0.011,0.090,33.900,6.000,6.000,5.000,14.530,0.000,0.000,22.000
-0.011,-0.000,33.900,6.000,6.000,5.000,14.520,0.000,0.000,22.000
-0.011,-0.000,33.900,6.000,6.000,5.000,14.520,0.000,0.000,22.000
-0.011,-0.000,33.900,6.000,6.000,5.000,14.520,0.000,0.000,22.000
-0.011,0.035,33.900,6.000,6.000,5.000,14.520,0.000,0.000,22.000
-0.011,-0.000,33.900,6.000,6.000,5.000,14.520,0.000,0.000,22.000
0.011,-0.000,33.900,6.000,6.000,5.000,14.520,0.000,0.000,22.000
-0.011,-0.000,33.900,6.000,6.000,5.000,14.530,0.000,0.000,22.000
-0.011,-0.000,33.900,6.000,6.000,5.000,14.530,0.000,0.000,22.000
-0.011,0.060,33.900,6.000,6.000,5.000,14.530,0.000,0.000,22.000
-0.011,-0.000,33.900,6.000,6.000,5.000,14.520,0.000,0.000,22.000
-0.011,0.025,33.900,6.000,6.000,5.000,14.520,0.000,0.000,22.000
-0.011,-0.000,33.900,6.000,6.000,5.000,14.520,0.000,0.000,22.000
-0.011,-0.000,33.900,6.000,6.000,5.000,14.530,0.000,0.000,22.000
-0.011,-0.000,33.900,6.000,6.000,5.000,14.520,0.000,0.000,22.000
-0.011,-0.000,33.900,6.000,6.000,5.000,14.520,0.000,0.000,22.000
-0.011,-0.000,33.900,6.000,6.000,5.000,14.520,0.000,0.000,22.000
-0.011,-0.000,33.900,6.000,6.000,5.000,14.520,0.000,0.000,22.000
-0.011,-0.000,33.900,6.000,6.000,5.000,14.520,0.000,0.000,22.000
-0.011,-0.000,33.900,6.000,6.000,5.000,14.530,0.000,0.000,22.000
-0.011,-0.000,33.900,6.000,6.000,5.000,14.520,0.000,0.000,22.000
-0.011,-0.000,33.900,6.000,6.000,5.000,14.530,0.000,0.000,22.000
-0.033,-0.000,33.900,6.000,6.000,5.000,14.530,0.000,0.000,22.000
-0.011,-0.000,33.900,6.000,6.000,5.000,14.530,0.000,0.000,22.000
-0.011,-0.000,33.900,6.000,6.000,5.000,14.530,0.000,0.000,22.000
-0.011,-0.000,33.900,6.000,6.000,5.000,14.530,0.000,0.000,22.000
-0.011,0.006,33.900,6.000,6.000,5.000,14.530,0.000,0.000,22.000
-0.011,-0.000,33.900,6.000,6.000,5.000,14.530,0.000,0.000,22.000
-0.011,0.044,33.900,6.000,6.000,5.000,14.530,0.000,0.000,22.000
-0.011,0.055,33.900,6.000,6.000,5.000,14.520,0.000,0.000,22.000
-0.011,0.081,33.900,6.000,6.000,5.000,14.520,0.000,0.000,22.000
-0.011,-0.000,33.900,6.000,6.000,5.000,14.520,0.000,0.000,22.000
-0.011,-0.000,33.900,6.000,6.000,5.000,14.520,0.000,0.000,22.000
-0.011,0.035,33.900,6.000,6.000,5.000,14.530,0.000,0.000,22.000
-0.011,0.006,33.900,6.000,6.000,5.000,14.520,0.000,0.000,22.000
-0.011,-0.000,33.900,6.000,6.000,5.000,14.530,0.000,0.000,22.000
-0.011,-0.000,33.900,6.000,6.000,5.000,14.530,0.000,0.000,22.000
0.011,0.004,33.900,6.000,6.000,5.000,14.530,0.000,0.000,22.000
-0.011,-0.000,33.900,6.000,6.000,5.000,14.520,0.000,0.000,22.000
-0.011,-0.000,33.900,6.000,6.000,5.000,14.520,0.000,0.000,22.000
-0.011,-0.000,33.900,6.000,6.000,5.000,14.530,0.000,0.000,22.000
-0.011,-0.000,33.900,6.000,6.000,5.000,14.530,0.000,0.000,22.000
-0.011,-0.000,33.900,6.000,6.000,5.000,14.530,0.000,0.000,22.000
0.011,-0.000,33.900,6.000,6.000,5.000,14.530,0.000,0.000,22.000
-0.011,-0.000,33.900,6.000,6.000,5.000,14.520,0.000,0.000,22.000
-0.011,-0.000,33.900,6.000,6.000,5.000,14.530,0.000,0.000,22.000
-0.011,-0.000,33.900,6.000,6.000,5.000,14.530,0.000,0.000,22.000
-0.011,-0.000,33.900,6.000,6.000,5.000,14.530,0.000,0.000,22.000
-0.011,-0.000,33.900,6.000,6.000,5.000,14.520,0.000,0.000,22.000
-0.011,-0.000,33.900,6.000,6.000,5.000,14.520,0.000,0.000,22.000
